,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,price_per_sqft
773,25613 Calaroga Ave,Hayward,CA,94545,888786,3.00,2.00,1359.00,51,41.0,69.0,92.0,654.0
774,1347 Martin Luther King Dr,Hayward,CA,94541,765000,3.00,2.50,1809.00,80,56.0,62.0,79.0,422.89
775,28307 Murcia St,Hayward,CA,94544,227000,3.00,2.00,1226.00,43,34.0,51.0,0.0,185.15
776,30553 Troon Pl,Hayward,CA,94544,988888,3.00,2.00,1250.00,51,35.0,48.0,92.0,791.11
777,26021 Gettysburg Ave,Hayward,CA,94545,849000,3.00,2.00,1391.00,36,40.0,43.0,86.0,610.35
778,325 Valle Vista Ave #104,Hayward,CA,94544,449000,2.00,2.00,725.00,54,50.0,58.0,88.0,619.31
779,5 Stirling Way,Hayward,CA,94542,2480000,4.00,5.00,4358.00,1,16.0,15.0,83.0,569.07
780,26673 Colette St,Hayward,CA,94544,788800,3.00,2.00,951.00,64,37.0,65.0,88.0,829.44
781,31214 Tepic Pl #26,Hayward,CA,94544,725000,3.00,2.50,1435.00,55,34.0,52.0,92.0,505.23
782,695 Atherton Pl #702,Hayward,CA,94541,650000,2.00,2.00,1097.00,93,62.0,65.0,88.0,592.53
783,111 Fanuncio Ln,Hayward,CA,94544,799000,3.00,2.50,1707.00,71,39.0,72.0,81.0,468.07
784,24024 Edloe Dr,Hayward,CA,94541,729000,3.00,1.00,1052.00,66,48.0,58.0,91.0,692.97
